UTC,Open,High,Low,Close,Volume
17.02.2017 00:00:00.000 UTC,1.24855,1.24855,1.24805,1.24809,117.26
17.02.2017 00:01:00.000 UTC,1.24814,1.24834,1.24812,1.24832,86
17.02.2017 00:02:00.000 UTC,1.24832,1.24841,1.24828,1.24839,104.82
17.02.2017 00:03:00.000 UTC,1.24839,1.24847,1.2483,1.24843,92.25
17.02.2017 00:04:00.000 UTC,1.24842,1.24868,1.24842,1.24862,83.19
17.02.2017 00:05:00.000 UTC,1.24862,1.24874,1.24858,1.24871,87.57
17.02.2017 00:06:00.000 UTC,1.24871,1.24873,1.24855,1.24861,55.59
17.02.2017 00:07:00.000 UTC,1.24861,1.24883,1.24861,1.24864,76.47
17.02.2017 00:08:00.000 UTC,1.24861,1.24864,1.24848,1.24863,39.18
17.02.2017 00:09:00.000 UTC,1.2486,1.24866,1.24857,1.24861,32.72
17.02.2017 00:10:00.000 UTC,1.24861,1.24863,1.24852,1.24853,97.08
17.02.2017 00:11:00.000 UTC,1.24853,1.24853,1.2481,1.2481,185.77
17.02.2017 00:12:00.000 UTC,1.24815,1.2482,1.2479,1.24792,207.29
17.02.2017 00:13:00.000 UTC,1.24791,1.24809,1.24787,1.24801,148.37
17.02.2017 00:14:00.000 UTC,1.24801,1.24811,1.24796,1.24807,81.51
17.02.2017 00:15:00.000 UTC,1.24807,1.24811,1.24803,1.24811,66.75
17.02.2017 00:16:00.000 UTC,1.24812,1.24836,1.24812,1.24823,85.35
17.02.2017 00:17:00.000 UTC,1.24824,1.24847,1.24823,1.24845,97.78
17.02.2017 00:18:00.000 UTC,1.24844,1.24848,1.24832,1.24835,64.62
17.02.2017 00:19:00.000 UTC,1.24835,1.24842,1.24828,1.24828,135.01
17.02.2017 00:20:00.000 UTC,1.24827,1.24836,1.24824,1.24829,120.76
17.02.2017 00:21:00.000 UTC,1.24827,1.24832,1.24819,1.24823,86.52
17.02.2017 00:22:00.000 UTC,1.24824,1.24841,1.24822,1.24841,84.47
17.02.2017 00:23:00.000 UTC,1.24842,1.24843,1.24829,1.24835,98.67
17.02.2017 00:24:00.000 UTC,1.24835,1.24844,1.24823,1.24834,132.45
17.02.2017 00:25:00.000 UTC,1.24834,1.24848,1.24828,1.24844,85.84
17.02.2017 00:26:00.000 UTC,1.24844,1.24845,1.24839,1.24845,69.42
17.02.2017 00:27:00.000 UTC,1.24843,1.24847,1.24832,1.24846,110.18
17.02.2017 00:28:00.000 UTC,1.24845,1.24849,1.2483,1.24836,122.69
17.02.2017 00:29:00.000 UTC,1.24834,1.24843,1.24833,1.24838,106.18
17.02.2017 00:30:00.000 UTC,1.24838,1.24851,1.24831,1.24844,112.53
17.02.2017 00:31:00.000 UTC,1.24844,1.24844,1.24832,1.24833,42.73
17.02.2017 00:32:00.000 UTC,1.24831,1.24838,1.24824,1.24834,105.17
17.02.2017 00:33:00.000 UTC,1.24832,1.2484,1.2483,1.24835,101.95
17.02.2017 00:34:00.000 UTC,1.24834,1.24837,1.24816,1.24835,139.53
17.02.2017 00:35:00.000 UTC,1.24836,1.2485,1.24836,1.24841,60.83
17.02.2017 00:36:00.000 UTC,1.24842,1.24849,1.24838,1.24842,93.87
17.02.2017 00:37:00.000 UTC,1.2484,1.2484,1.24821,1.24821,85.22
17.02.2017 00:38:00.000 UTC,1.24819,1.24828,1.24817,1.24827,60.42
17.02.2017 00:39:00.000 UTC,1.24826,1.24828,1.24824,1.24825,24.12
17.02.2017 00:40:00.000 UTC,1.24828,1.24838,1.24827,1.24837,55.46
